time,load,Pd,Qd
0,10.0,LOAD13,203.0,200.0555
1,10.0,LOAD12,23.0,-4.4436
2,10.0,LOAD14,30.0,-6.9373
3,10.0,LOAD7,23.0,-1.528
4,10.0,LOAD21,175.0,201.8736
5,10.0,LOAD6,24.0,-1.6361
6,10.0,LOAD10,125.0,-2.5649
7,10.0,LOAD20,195.0,240.2656
8,10.0,LOAD2,53.0,-0.46184
9,10.0,LOAD1,3495.0,171.9106
10,10.0,LOAD17,3495.0,171.9106
11,10.0,LOAD15,436.0,-31.2239
12,10.0,LOAD4,485.0,-53.6271
13,10.0,LOAD11,41.0,-1.4936
14,10.0,LOAD9,68.0,-1.8868
15,10.0,LOAD18,68.0,-0.034361
16,10.0,LOAD23,49.0,-0.28498
17,10.0,LOAD22,24.0,-1.528
18,10.0,LOAD5,30.0,-4.4667
19,10.0,LOAD8,2538.0,165.6263
20,10.0,LOAD19,171.0,138.7417
21,10.0,LOAD3,193.0,211.0823
22,10.0,LOAD16,2212.0,-95.3317
23,20.0,LOAD5,210.0,223.3209
24,20.0,LOAD12,23.0,-4.4436
25,20.0,LOAD13,203.0,200.0555
26,20.0,LOAD9,68.0,-1.8868
27,20.0,LOAD20,175.0,214.9559
28,20.0,LOAD2,153.0,126.0868
29,20.0,LOAD17,1421.0,166.4432
30,20.0,LOAD8,462.0,173.1784
31,20.0,LOAD22,24.0,-1.528
32,20.0,LOAD3,193.0,211.0823
33,20.0,LOAD18,68.0,-0.034361
34,20.0,LOAD15,56.0,-1.6018
35,20.0,LOAD10,125.0,-2.5649
36,20.0,LOAD7,23.0,-1.528
37,20.0,LOAD11,41.0,-1.4936
38,20.0,LOAD14,30.0,-6.9373
39,20.0,LOAD4,735.0,186.8154
40,20.0,LOAD19,61.0,-0.46184
41,20.0,LOAD23,49.0,-0.28498
42,20.0,LOAD21,175.0,201.8736
43,20.0,LOAD16,2351.5,-127.8687
44,20.0,LOAD1,1421.0,166.4432
45,20.0,LOAD6,204.0,226.1515
46,30.0,LOAD9,68.0,-1.8868
47,30.0,LOAD4,740.0,193.6496
48,30.0,LOAD3,23.0,-4.0505
49,30.0,LOAD8,450.0,174.8883
50,30.0,LOAD23,49.0,-0.28498
51,30.0,LOAD16,2351.5,-127.8687
52,30.0,LOAD18,68.0,-0.034361
53,30.0,LOAD19,221.0,202.016
54,30.0,LOAD13,203.0,200.0555
55,30.0,LOAD5,210.0,223.3209
56,30.0,LOAD22,124.0,125.0207
57,30.0,LOAD17,1030.0,197.8805
58,30.0,LOAD15,56.0,-1.6018
59,30.0,LOAD11,201.0,200.9842
60,30.0,LOAD21,315.0,379.0417
61,30.0,LOAD10,125.0,-2.5649
