time,plosses,line,phase
0,10.0,-8.381136968118673e-38,LINE39,3.0
1,10.0,4.039914132270267,LINE5,3.0
2,10.0,-4.800718928758222e-35,LINE42,1.0
3,10.0,0.0004306093530775689,LINE43,3.0
4,10.0,4.989698021226699e-05,LINE30,3.0
5,10.0,-5.726880709330822e-06,LINE38,3.0
6,10.0,-7.934586868050441e-38,LINE20,3.0
7,10.0,6.205438413425034,LINE2,1.0
8,10.0,0.6595061719730837,LINE5,2.0
9,10.0,-0.18088536322169535,LINE5,1.0
10,10.0,1.2004001373803347e-35,LINE27,1.0
11,10.0,5.8965735373123e-36,LINE39,1.0
12,10.0,0.00020332779167660524,LINE38,2.0
13,10.0,7.769134543966654e-06,LINE6,1.0
14,10.0,-8.185115367089734e-35,LINE42,2.0
15,10.0,0.06400663069806221,LINE13,2.0
16,10.0,0.01062418753328955,LINE47,1.0
17,10.0,0.03525269297125557,LINE6,2.0
18,10.0,-9.036612821946335e-36,LINE47,2.0
19,10.0,1.6557485626926836e-05,LINE27,2.0
20,10.0,0.09356568510339835,LINE13,3.0
21,10.0,8.800100873613353e-05,LINE18,1.0
22,10.0,0.9100809108671437,LINE8,3.0
23,10.0,1.4475660719521864e-24,LINE12,3.0
24,10.0,-2.7919303792638462e-36,LINE18,3.0
25,10.0,1.2178178412817966,LINE11,3.0
26,10.0,0.006646719152844597,LINE40,2.0
27,10.0,7.993757496969842e-05,LINE34,1.0
28,10.0,-3.308722723977034e-35,LINE18,2.0
29,10.0,1.3040640454434752e-35,LINE16,3.0
30,10.0,0.0013065045747555767,LINE46,1.0
31,10.0,-3.308722450213733e-24,LINE8,2.0
32,10.0,0.0004865494585247439,LINE14,3.0
33,10.0,-7.692141158193344e-36,LINE17,2.0
34,10.0,-7.677447478808065e-37,LINE20,1.0
35,10.0,0.0,LINE30,1.0
36,10.0,1.7391193842355712,LINE33,3.0
37,10.0,2.0679515310095554e-25,LINE8,1.0
38,10.0,-8.398907136625244e-36,LINE30,2.0
39,10.0,0.0004971080695966951,LINE20,2.0
40,10.0,-4.963083675322298e-24,LINE33,2.0
41,10.0,-2.7524225203758817e-32,LINE45,3.0
42,10.0,2.9369124925397768e-05,LINE38,1.0
43,10.0,1.2448485175208025e-35,LINE40,1.0
44,10.0,4.2698544629600786e-06,LINE29,3.0
45,10.0,-0.0004379048600680266,LINE36,1.0
46,10.0,0.0008148328393405196,LINE44,2.0
47,10.0,-9.838887716382546e-36,LINE19,2.0
48,10.0,0.0,LINE21,1.0
49,10.0,2.09938189488e-05,LINE25,3.0
50,10.0,4.359137885997353e-06,LINE37,3.0
51,10.0,-7.592600223097316e-32,LINE44,1.0
52,10.0,1.2015021633342306e-35,LINE17,3.0
53,10.0,0.011855104333979238,LINE23,1.0
54,10.0,1.0063986836505385,LINE29,2.0
55,10.0,0.00015398885246331094,LINE17,1.0
56,10.0,1.6218883305470512e-35,LINE24,1.0
57,10.0,4.306795534059572e-06,LINE29,1.0
58,10.0,0.6679800565611005,LINE24,3.0
59,10.0,-2.4318266101517213e-35,LINE19,3.0
60,10.0,-3.896074468656088e-36,LINE34,3.0
61,10.0,6.41819915548969e-36,LINE43,2.0
62,10.0,0.0,LINE25,2.0
63,10.0,16.79047674704123,LINE2,3.0
64,10.0,-4.135903062872343e-25,LINE23,3.0
65,10.0,-1.3737501717466624e-31,LINE45,2.0
66,10.0,0.3070512643231441,LINE42,3.0
67,10.0,7.742700434684592e-06,LINE6,3.0
68,10.0,0.013025856368627655,LINE36,2.0
69,10.0,3.239637969261502,LINE2,2.0
70,10.0,-3.9392279831544916e-38,LINE27,3.0
71,10.0,-2.412114407887334e-35,LINE34,2.0
72,10.0,0.0,LINE21,3.0
73,10.0,0.03813656896621362,LINE37,1.0
74,10.0,-0.0034320900486535977,LINE13,1.0
75,10.0,0.010241938100636236,LINE21,2.0
76,10.0,6.458737506576012e-05,LINE45,1.0
77,10.0,0.0,LINE25,1.0
78,10.0,-1.4475660719422256e-24,LINE23,2.0
79,10.0,0.003712015452082438,LINE19,1.0
80,10.0,4.388826581780957e-06,LINE37,2.0
81,10.0,-3.6734198463196485e-39,LINE44,3.0
82,10.0,-6.617444900414394e-24,LINE14,2.0
83,10.0,-9.935866000325385e-36,LINE47,3.0
84,10.0,-2.5684551565466982e-36,LINE24,2.0
85,10.0,-5.769914021011198e-35,LINE31,2.0
86,10.0,-2.629372905613196e-35,LINE40,3.0
87,10.0,0.01166374779448029,LINE10,1.0
88,10.0,0.014390583776721847,LINE39,2.0
89,10.0,1.1533915757265638,LINE7,3.0
90,10.0,0.5619229606265355,LINE41,2.0
91,10.0,4.38973671635198e-38,LINE26,3.0
92,10.0,0.2288405717326806,LINE1,1.0
93,10.0,-1.0605897780294089e-35,LINE16,2.0
94,10.0,0.8950486861908293,LINE9,2.0
95,10.0,1.2440020930992076e-25,LINE4,3.0
96,10.0,0.9138745693404476,LINE7,2.0
97,10.0,2.0679515313839078e-24,LINE10,3.0
98,10.0,0.0001503239875109158,LINE32,3.0
99,10.0,4.8066870880647896e-35,LINE46,3.0
100,10.0,0.09578595175484388,LINE1,2.0
101,10.0,-0.0490880330906056,LINE22,1.0
102,10.0,-0.07656532182122468,LINE28,1.0
103,10.0,8.095822190055954e-05,LINE31,3.0
104,10.0,-0.1531160756228494,LINE3,1.0
105,10.0,0.8433018364125653,LINE22,2.0
106,10.0,1.7740586072921998,LINE4,1.0
107,10.0,0.44393723914909644,LINE15,2.0
108,10.0,-0.016360385804459077,LINE7,1.0
109,10.0,0.6332348502915064,LINE15,3.0
110,10.0,-1.24077091882357e-24,LINE10,2.0
111,10.0,0.8358645161033482,LINE1,3.0
112,10.0,0.003697280345862129,LINE35,1.0
113,10.0,4.135903062912777e-25,LINE4,2.0
114,10.0,1.206247912984662,LINE9,3.0
115,10.0,-4.80850657883242e-35,LINE41,1.0
116,10.0,2.147649391107726e-36,LINE41,3.0
117,10.0,0.006637608931887591,LINE32,2.0
118,10.0,2.4039594158285043e-35,LINE35,2.0
